sampled_id,class,result_position,result,relevant
0,sklearn.neighbors.NearestNeighbors,0,sklearn.neighbors.NearestCentroid,FALSE
0,sklearn.neighbors.NearestNeighbors,1,sklearn.neighbors.KNeighborsClassifier,FALSE
0,sklearn.neighbors.NearestNeighbors,2,sklearn.neighbors.KNeighborsRegressor,FALSE
0,sklearn.neighbors.NearestNeighbors,3,sklearn.manifold.TSNE,FALSE
0,sklearn.neighbors.NearestNeighbors,4,sklearn.neighbors.RadiusNeighborsRegressor,FALSE
0,sklearn.neighbors.NearestNeighbors,5,sklearn.naive_bayes.ComplementNB,FALSE
0,sklearn.neighbors.NearestNeighbors,6,sklearn.tree.ExtraTreeClassifier,FALSE
0,sklearn.neighbors.NearestNeighbors,7,sklearn.svm.OneClassSVM,FALSE
0,sklearn.neighbors.NearestNeighbors,8,sklearn.preprocessing.Normalizer,FALSE
0,sklearn.neighbors.NearestNeighbors,9,sklearn.cluster.SpectralClustering,FALSE
1,sklearn.feature_selection.SelectFdr,0,sklearn.feature_selection.SelectFpr,TRUE
1,sklearn.feature_selection.SelectFdr,1,sklearn.feature_selection.SelectFwe,TRUE
1,sklearn.feature_selection.SelectFdr,2,sklearn.feature_selection.RFECV,TRUE
1,sklearn.feature_selection.SelectFdr,3,sklearn.feature_selection.RFE,TRUE
1,sklearn.feature_selection.SelectFdr,4,sklearn.feature_selection.VarianceThreshold,TRUE
1,sklearn.feature_selection.SelectFdr,5,sklearn.feature_selection.SelectKBest,TRUE
1,sklearn.feature_selection.SelectFdr,6,sklearn.feature_selection.SelectPercentile,TRUE
1,sklearn.feature_selection.SelectFdr,7,sklearn.feature_selection.GenericUnivariateSelect,TRUE
1,sklearn.feature_selection.SelectFdr,8,sklearn.feature_selection.SelectFromModel,TRUE
1,sklearn.feature_selection.SelectFdr,9,sklearn.preprocessing.Binarizer,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,0,sklearn.tree.ExtraTreeClassifier,TRUE
2,sklearn.ensemble.ExtraTreesClassifier,1,sklearn.ensemble.ExtraTreesRegressor,FALSE
