sampled_id,class,result_position,result,relevant
0,sklearn.neighbors.NearestNeighbors,0,sklearn.naive_bayes.BernoulliNB,FALSE
0,sklearn.neighbors.NearestNeighbors,1,sklearn.decomposition.SparseCoder,FALSE
0,sklearn.neighbors.NearestNeighbors,2,sklearn.neighbors.KNeighborsClassifier,FALSE
0,sklearn.neighbors.NearestNeighbors,3,sklearn.manifold.SpectralEmbedding,FALSE
0,sklearn.neighbors.NearestNeighbors,4,sklearn.svm.SVR,FALSE
0,sklearn.neighbors.NearestNeighbors,5,sklearn.mixture.BayesianGaussianMixture,FALSE
0,sklearn.neighbors.NearestNeighbors,6,sklearn.gaussian_process.GaussianProcessRegressor,FALSE
0,sklearn.neighbors.NearestNeighbors,7,sklearn.preprocessing.MinMaxScaler,FALSE
0,sklearn.neighbors.NearestNeighbors,8,sklearn.preprocessing.MaxAbsScaler,FALSE
0,sklearn.neighbors.NearestNeighbors,9,sklearn.linear_model.LinearRegression,FALSE
1,sklearn.feature_selection.SelectFdr,0,sklearn.tree.ExtraTreeRegressor,FALSE
1,sklearn.feature_selection.SelectFdr,1,sklearn.cluster.AffinityPropagation,FALSE
1,sklearn.feature_selection.SelectFdr,2,sklearn.decomposition.DictionaryLearning,FALSE
1,sklearn.feature_selection.SelectFdr,3,sklearn.preprocessing.Binarizer,FALSE
1,sklearn.feature_selection.SelectFdr,4,sklearn.cluster.FeatureAgglomeration,FALSE
1,sklearn.feature_selection.SelectFdr,5,sklearn.preprocessing.StandardScaler,FALSE
1,sklearn.feature_selection.SelectFdr,6,sklearn.feature_selection.RFECV,TRUE
1,sklearn.feature_selection.SelectFdr,7,sklearn.linear_model.Huber,FALSE
1,sklearn.feature_selection.SelectFdr,8,sklearn.ensemble.AdaBoostClassifier,FALSE
1,sklearn.feature_selection.SelectFdr,9,sklearn.linear_model.TheilSenRegressor,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,0,sklearn.cluster.OPTICS,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,1,sklearn.feature_selection.GenericUnivariateSelect,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,2,sklearn.multiclass.OneVsOneClassifier,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,3,sklearn.ensemble.GradientBoostingRegressor,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,4,sklearn.linear_model.MultiTaskElasticNet,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,5,sklearn.cluster.SpectralClustering,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,6,sklearn.covariance.ShrunkCovariance,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,7,sklearn.neighbors.KernelDensity,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,8,sklearn.impute.MissingIndicator,FALSE
2,sklearn.ensemble.ExtraTreesClassifier,9,sklearn.covariance.GraphLassoCV,FALSE
3,sklearn.feature_selection.SelectFwe,0,sklearn.linear_model.SGDClassifier,FALSE
3,sklearn.feature_selection.SelectFwe,1,sklearn.cluster.SpectralBiclustering,FALSE
3,sklearn.feature_selection.SelectFwe,2,sklearn.preprocessing.OneHotEncoder,FALSE
3,sklearn.feature_selection.SelectFwe,3,sklearn.linear_model.BayesianRidge,FALSE
3,sklearn.feature_selection.SelectFwe,4,sklearn.ensemble.BaggingRegressor,FALSE
3,sklearn.feature_selection.SelectFwe,5,sklearn.neighbors.RadiusNeighborsClassifier,FALSE
3,sklearn.feature_selection.SelectFwe,6,sklearn.cluster.SpectralClustering,FALSE
3,sklearn.feature_selection.SelectFwe,7,sklearn.decomposition.DictionaryLearning,FALSE
3,sklearn.feature_selection.SelectFwe,8,sklearn.ensemble.GradientBoostingClassifier,FALSE
3,sklearn.feature_selection.SelectFwe,9,sklearn.feature_selection.SelectFpr,TRUE
4,sklearn.neural_network.MLPClassifier,0,sklearn.tree.ExtraTreeClassifier,TRUE
4,sklearn.neural_network.MLPClassifier,1,sklearn.ensemble.RandomTreesEmbedding,FALSE
4,sklearn.neural_network.MLPClassifier,2,sklearn.preprocessing.OrdinalEncoder,FALSE
4,sklearn.neural_network.MLPClassifier,3,sklearn.feature_selection.SelectFromModel,FALSE
4,sklearn.neural_network.MLPClassifier,4,sklearn.preprocessing.StandardScaler,FALSE
4,sklearn.neural_network.MLPClassifier,5,sklearn.neighbors.KernelDensity,FALSE
4,sklearn.neural_network.MLPClassifier,6,sklearn.linear_model.LassoLars,FALSE
4,sklearn.neural_network.MLPClassifier,7,sklearn.covariance.GraphicalLassoCV,FALSE
4,sklearn.neural_network.MLPClassifier,8,sklearn.neighbors.RadiusNeighborsRegressor,FALSE
4,sklearn.neural_network.MLPClassifier,9,sklearn.tree.DecisionTreeRegressor,FALSE
5,sklearn.preprocessing.KernelCenterer,0,sklearn.svm.NuSVR,FALSE
5,sklearn.preprocessing.KernelCenterer,1,sklearn.random_projection.SparseRandomProjection,FALSE
5,sklearn.preprocessing.KernelCenterer,2,sklearn.decomposition.FactorAnalysis,FALSE
5,sklearn.preprocessing.KernelCenterer,3,sklearn.preprocessing.OneHotEncoder,FALSE
5,sklearn.preprocessing.KernelCenterer,4,sklearn.naive_bayes.GaussianNB,FALSE
5,sklearn.preprocessing.KernelCenterer,5,sklearn.linear_model.OrthogonalMatchingPursuitCV,FALSE
5,sklearn.preprocessing.KernelCenterer,6,sklearn.linear_model.SGDClassifier,FALSE
5,sklearn.preprocessing.KernelCenterer,7,sklearn.neighbors.KernelDensity,FALSE
5,sklearn.preprocessing.KernelCenterer,8,sklearn.feature_selection.SelectPercentile,FALSE
5,sklearn.preprocessing.KernelCenterer,9,sklearn.impute.MissingIndicator,FALSE
6,sklearn.naive_bayes.GaussianNB,0,sklearn.neighbors.KernelDensity,FALSE
6,sklearn.naive_bayes.GaussianNB,1,sklearn.linear_model.OrthogonalMatchingPursuitCV,FALSE
6,sklearn.naive_bayes.GaussianNB,2,sklearn.decomposition.LatentDirichletAllocation,FALSE
6,sklearn.naive_bayes.GaussianNB,3,sklearn.linear_model.BayesianRidge,FALSE
6,sklearn.naive_bayes.GaussianNB,4,sklearn.covariance.MinCovDet,FALSE
6,sklearn.naive_bayes.GaussianNB,5,sklearn.preprocessing.LabelBinarizer,FALSE
6,sklearn.naive_bayes.GaussianNB,6,sklearn.linear_model.RANSACRegressor,FALSE
6,sklearn.naive_bayes.GaussianNB,7,sklearn.feature_extraction.text.TfidfTransformer,FALSE
6,sklearn.naive_bayes.GaussianNB,8,sklearn.linear_model.MultiTaskLasso,FALSE
6,sklearn.naive_bayes.GaussianNB,9,sklearn.neighbors.KDTree,FALSE
7,sklearn.linear_model.ARDRegression,0,sklearn.covariance.OAS,FALSE
7,sklearn.linear_model.ARDRegression,1,sklearn.linear_model.Ridge,TRUE
7,sklearn.linear_model.ARDRegression,2,sklearn.linear_model.SquaredLoss,FALSE
7,sklearn.linear_model.ARDRegression,3,sklearn.feature_selection.RFECV,FALSE
7,sklearn.linear_model.ARDRegression,4,sklearn.linear_model.LarsCV,TRUE
7,sklearn.linear_model.ARDRegression,5,sklearn.preprocessing.MaxAbsScaler,FALSE
7,sklearn.linear_model.ARDRegression,6,sklearn.preprocessing.KernelCenterer,FALSE
7,sklearn.linear_model.ARDRegression,7,sklearn.neighbors.KNeighborsRegressor,TRUE
7,sklearn.linear_model.ARDRegression,8,sklearn.linear_model.Huber,FALSE
7,sklearn.linear_model.ARDRegression,9,sklearn.manifold.MDS,FALSE
8,sklearn.multiclass.OneVsOneClassifier,0,sklearn.feature_extraction.image.PatchExtractor,FALSE
8,sklearn.multiclass.OneVsOneClassifier,1,sklearn.covariance.MinCovDet,FALSE
8,sklearn.multiclass.OneVsOneClassifier,2,sklearn.preprocessing.OneHotEncoder,FALSE
8,sklearn.multiclass.OneVsOneClassifier,3,sklearn.isotonic.IsotonicRegression,FALSE
8,sklearn.multiclass.OneVsOneClassifier,4,sklearn.decomposition.PCA,FALSE
8,sklearn.multiclass.OneVsOneClassifier,5,sklearn.svm.NuSVC,TRUE
8,sklearn.multiclass.OneVsOneClassifier,6,sklearn.ensemble.IsolationForest,FALSE
8,sklearn.multiclass.OneVsOneClassifier,7,sklearn.feature_selection.GenericUnivariateSelect,FALSE
8,sklearn.multiclass.OneVsOneClassifier,8,sklearn.covariance.ShrunkCovariance,FALSE
8,sklearn.multiclass.OneVsOneClassifier,9,sklearn.linear_model.HuberRegressor,FALSE
9,sklearn.linear_model.RANSACRegressor,0,sklearn.linear_model.MultiTaskLasso,TRUE
9,sklearn.linear_model.RANSACRegressor,1,sklearn.cluster.OPTICS,FALSE
9,sklearn.linear_model.RANSACRegressor,2,sklearn.cluster.AgglomerativeClustering,FALSE
9,sklearn.linear_model.RANSACRegressor,3,sklearn.neural_network.BernoulliRBM,FALSE
9,sklearn.linear_model.RANSACRegressor,4,sklearn.preprocessing.PolynomialFeatures,FALSE
9,sklearn.linear_model.RANSACRegressor,5,sklearn.linear_model.MultiTaskLassoCV,TRUE
9,sklearn.linear_model.RANSACRegressor,6,sklearn.linear_model.LogisticRegression,FALSE
9,sklearn.linear_model.RANSACRegressor,7,sklearn.random_projection.SparseRandomProjection,FALSE
9,sklearn.linear_model.RANSACRegressor,8,sklearn.cluster.FeatureAgglomeration,FALSE
9,sklearn.linear_model.RANSACRegressor,9,sklearn.covariance.LedoitWolf,FALSE
10,sklearn.svm.NuSVC,0,sklearn.preprocessing.PowerTransformer,FALSE
